origin,modern
But I will tarry.,But I’ll linger.
The fool will stay.,The fool will stay.
And let the wise man fly.,And let the wise man run away.
"Where learned you this, Fool?","Where did you learn that song, Fool?"
"Not i' th' stocks, fool.","Not in the stocks, fool."
Deny to speak with me?,How can they refuse to speak with me?
They are sick?,They’re playing with me.
They are weary?,These are tricks.
The images of revolt and flying off.,This is rebellion.
"My dear lord, You know the fiery quality of the duke, How unremoveable and fixed he is In his own course.","My dear lord, you know how passionately stubborn the duke is."
"Vengeance, plague, death, confusion!",Damn it all to hell!
Fiery”?,Passionately”?
What “quality”?,What “passion”?
"Why, Gloucester, Gloucester, I’d speak with the Duke of Cornwall and his wife.","Gloucester, Gloucester, I want to speak with the Duke of Cornwall and his wife."
"Well, my good lord, I have informed them so.","My lord, I informed them as much."
Informed them”?,Informed them”?
"Dost thou understand me, man?","Do you understand what I’m saying, man?"
"Ay, my good lord.","Yes, my lord."
The king would speak with Cornwall.,The king wants to speak with Cornwall.
Are they “informed” of this?,Did you inform them of that?
My breath and blood!,This is unbelievable!
Fiery”?,Passionate”?
The “fiery” duke?,The “passionate” duke?
"Tell the hot duke that Lear— No, but not yet.","Tell the hot-headed duke that I… But no, not yet."
Maybe he is not well.,Maybe he’s not feeling well.
I would have all well betwixt you.,I just want everything to be all right between you.
"O me, my heart, my rising heart!","Oh, my heart, my heart is rising into my throat!"
But down.,"Stay down, heart."
Good morrow to you both.,"That’s right, uncle, talk to your heart, like the  Good morning to you both."
Hail to your grace.,Hail to your majesty.
I am glad to see your highness.,I’m glad to see your highness.
"Regan, I think you are.","I believe you are, Regan."
"I know what reason I have to think so: if thou shouldst not be glad, I would divorce me from thy mother’s tomb, Sepulchring an adultress.",You know why I think so?
"Belovèd Regan, Thy sister’s naught.","My dear Regan, your sister’s not worth anything."
"O Regan, she hath tied Sharp-toothed unkindness, like a vulture, here.","Oh, Regan, she’s torn me apart with unkindness, like a vulture, right here. "
"I pray you, sir, take patience.","Calm down, sir, please."
"Say, how is that?",How do you mean?
I cannot think my sister in the least Would fail her obligation.,I can’t believe my sister would neglect her obligations in any way.
"If, sir, perchance She have restrained the riots of your followers, 'Tis on such ground and to such wholesome end As clears her from all blame.","If she restrained your rowdy knights, she had such a good reason that you can’t blame her for it."
My curses on her!,I curse her.
"O sir, you are old.","Sir, you’re old."
Nature in you stands on the very verge Of his confine.,Your life is stretched to its limit.
You should be ruled and led By some discretion that discerns your state Better than you yourself.,You should let others take care of you and submit to people who know better than you do what’s good for you.
Therefore I pray you That to our sister you do make return.,Please go back to Goneril’s house.
"Say you have wronged her, sir.",Admit you were wrong.
Ask her forgiveness?,Apologize?
"On my knees I beg That you’ll vouchsafe me raiment, bed, and food.” Good sir, no more.","No more, please."
These are unsightly tricks.,These are ugly antics.
Return you to my sister.,Go back to my sister’s.
"Fie, sir, fie!","Shush, sir, please!"
"You nimble lightnings, dart your blinding flames Into her scornful eyes!",I hope lightning strikes her in the eyes!
"Infect her beauty, You fen-sucked fogs drawn by the powerful sun, To fall and blister!",I hope poisonous swampy fog covers her face and ruins her complexion!
O the blessed gods!,"Oh, dear gods!"
So will you wish on me when the rash mood is on.,That’s how you’ll talk about me when you’re in this mood.
"Her eyes are fierce, but thine Do comfort and not burn.","Her eyes are vicious, but yours are comforting."
"Thy half o' th' kingdom hast thou not forgot, Wherein I thee endowed.",You haven’t forgotten the half of a kingdom I gave you.
"Good sir, to the purpose.","Sir, let’s get to the point."
"Hence, and avoid my sight!— So be my grave my peace as here I give Her father’s heart from her.—Call France.","Get out of my sight!—I guess if she doesn’t love her father, then I’ll only have peace when I’m dead.—Call the King of France."
"Call Burgundy.—    Cornwall and Albany, With my two daughters' dowers digest this third.",Call the Duke of Burgundy.
"Let pride, which she calls plainness, marry her.","If she wants to be proud, or “honest,” as she calls it, she can just marry her own pride."
"Royal Lear, Whom I have ever honored as my king, Loved as my father, as my master followed, As my great patron thought on in my prayers— The bow is bent and drawn.","King Lear, I’ve always honored you as king, loved you as my father, obeyed you as my master, and thanked you in my prayers— I’m furious and ready to snap."
"Let it fall rather, though the fork invade The region of my heart.","Let your anger fall on me then, even if its sharpness pierces my heart."
Be Kent unmannerly When Lear is mad.,Kent can speak rudely when Lear goes mad.
"What wouldst thou do, old man?","What are you doing, old man?"
Think’st thou that duty shall have dread to speak When power to flattery bows?,"When powerful kings cave in to flatterers, do you think loyal men will be afraid to speak out against it?"
To plainness honor’s bound When majesty falls to folly.,"When a majestic king starts acting silly, then it’s my duty to be blunt."
What trumpet’s that?,What’s that trumpet?
I know ’t—my sister’s.,I know it.
This approves her letter That she would soon be here.,"She’ll be here soon, just like her letter said."
"This is a slave whose easy borrowed pride Dwells in the fickle grace of her he follows.— Out, varlet, from my sight!","This is a lowlife who basks in the reflection of the fading glory of the woman he works for.—Get out of my sight, scoundrel!"
What means your grace?,"What do you mean, your highness?"
Who stocked my servant?,Who put my servant in the stocks?
"Regan, I have good hope Thou didst not know on ’t.—Who comes here?","Regan, I hope you didn’t know anything about that.—Ah, who’s this?"
"O Regan, wilt thou take her by the hand?","Why shouldn’t she take my hand, father?"
How have I offended?,How exactly have I offended you?
"I set him there, sir, but his own disorders Deserved much less advancement.","I sent him there, sir, but his crimes deserved a worse punishment."
You!,You!
Did you?,You did it?
"I pray you, father, being weak, seem so.","Please, father, since you’re weak, act like it."
"If till the expiration of your month, You will return and sojourn with my sister, Dismissing half your train, come then to me.",Get rid of half your knights and go back to spend the rest of your month with my sister.
"I am now from home, and out of that provision Which shall be needful for your entertainment.",Right now I’m away from home and I can’t provide you with proper care.
"Return to her, and fifty men dismissed?",Go back with her?
Return with her?,Go back with her?
"Why, the hot-blooded France that dowerless took Our youngest born—I could as well be brought To knee his throne, and, squirelike, pension beg To keep base life afoot.","I might as well go before the King of France, who took my youngest daughter without a dowry, kneel before his throne, and beg him to give me a tiny pension to stay alive."
Return with her?,Go back with her?
Persuade me rather to be slave and sumpter To this detested groom.,I’d rather be a slave or a packhorse for this hateful stablehand here.
"At your choice, sir.","As you wish, sir."
"Now, I prithee, daughter, do not make me mad.","I beg you, daughter, don’t make me crazy."
"I will not trouble thee, my child.",I won’t bother you.
"We’ll no more meet, no more see one another.",We’ll never see each other again.
"But yet thou art my flesh, my blood, my daughter— Or rather a disease that’s in my flesh, Which I must needs call mine.","But you’re still my child, my flesh and blood—or rather you’re a disease in my flesh, a disease I still have to call my own."
"Thou art a boil, A plague-sore or embossèd carbuncle In my corrupted blood.","You’re a pustule, a sore, a tumor digesting my bloodline."
But I’ll not chide thee.,But I’ll stop rebuking you.
"I do not bid the thunder-bearer shoot, Nor tell tales of thee to high-judging Jove.","I won’t beg the gods to punish you, or caution you to fear their judgment."
Mend when thou canst.,Become a better
Be better at thy leisure.,"person when you’re ready, if you’re inclined."
I can be patient.,I’ll wait patiently.
"I can stay with Regan, I and my hundred knights.",Meanwhile I’ll stay with Regan with my hundred knights.
"Not altogether so, sir.",It’s not quite that simple.
"I looked not for you yet, nor am provided For your fit welcome.","I wasn’t expecting you, and I’m not ready to receive you."
"Give ear, sir, to my sister.",Please hear what Goneril is saying.
"For those that mingle reason with your passion Must be content to think you old, and so— But she knows what she does.","We’re trying to be reasonable while you’re so upset, and we understand that you’re old, and… But Goneril knows what she’s doing."
"I dare avouch it, sir.","Yes, I do."
"How, in one house, Should many people under two commands Hold amity?","How could so many people, under two masters, get along under one roof?"
Tis hard; almost impossible.,"It would be hard, almost impossible."
"Why might not you, my lord, receive attendance From those that she calls servants, or from mine?","Why couldn’t you be attended by my servants, or by Regan’s?"
"Why not, my lord?","Yes, why not, my lord?"
"If then they chanced to slack you, We could control them.","Then if they’re negligent, we could control them."
If you will come to me— For now I spy a danger—I entreat you To bring but five and twenty.,"Now that I think about the danger of these knights, if you come to stay with me, please bring no more than twenty-five of them with you."
To no more Will I give place or notice.,I won’t lodge any more than that under my roof.
I gave you all— And in good time you gave it.,I gave you everything— And it was about time too.
"Made you my guardians, my depositaries, But kept a reservation to be followed With such a number.",I made you de facto rulers of my kingdom on condition that I could keep a hundred knights of my own.
"What, must I come to you With five and twenty, Regan?",Why should I now have to make do with only twenty-five?
Said you so?,"Regan, is that what you said?"
"And speak ’t again, my lord.","Yes, I’ll say it again, my lord."
No more with me.,No more than twenty-five.
Not being the worst Stands in some rank of praise.,"Not being the worst daughter deserves some praise, I guess."
"Hear me, my lord.","Hear me out, my lord."
"What need you five and twenty, ten, or five To follow in a house where twice so many Have a command to tend you?","Why do you need twenty-five knights, or ten, or even five, when you’re staying in a house with a staff of double that at your service?"
What need one?,Why do you need even one?
"O, reason not the need!","Oh, don’t ask me why I “need” them!"
Thou art a lady.,You’re a well-dressed lady.
"If only to go warm were gorgeous, Why, nature needs not what thou gorgeous wear’st, Which scarcely keeps thee warm.","If you dressed only to stay warm, you wouldn’t need these gorgeous clothes you’re wearing—which don’t keep you warm at all."
"But, for true need— You heavens, give me that patience, patience I need.","Oh, gods, give me patience!"
"You see me here, you gods, a poor old man, As full of grief as age, wretched in both.","You see me here, gods, a grieving old man, as wretched in his grief as he is in his old age."
"If it be you that stir these daughters' hearts Against their father, fool me not so much To bear it tamely.","If you’re the ones setting my daughters against me, don’t let me be foolish enough to take it lying down."
"No, you unnatural hags,",man’s cheeks.
"I will have such revenges on you both That all the world shall—I will do such things— What they are yet I know not, but they shall be The terrors of the earth.","No, you monstrous hags, I’ll get revenge on you both that will make the whole world… I will do such things—I don’t know what I’ll do exactly, but it’ll be devastating."
You think I’ll weep?,You expect me to cry?
"No, I’ll not weep.","Well, I won’t."
"I have full cause of weeping, but this heart Shall break into a hundred thousand flaws, Or ere I’ll weep.—O Fool, I shall go mad!","I have a good reason to cry, but my heart will splinter into a hundred thousand pieces before I let myself cry.—Oh, Fool, I’ll go mad!"
Let us withdraw.,Let’s go inside.
Twill be a storm.,There’s going to be a storm.
This house is little.,This is a small house.
The old man and his people Cannot be well bestowed.,There’s no room for the old man and his followers.
Tis his own blame.,It’s his fault that he’s all worked up like this.
"Hath put himself from rest, And must needs taste his folly.",He has to pay the price for his foolish actions.
So am I purposed.,That’s what I intend to do too.
Where is my lord of Gloucester?,Where is Gloucester?
Followed the old man forth.,He followed the old man.
He is returned.,Here he comes back.
Whither is he going?,Where’s he going?
"He calls to horse, but will I know not whither.","He has called for his horse, but I don’t know where he’s headed."
Tis best to give him way.,It’s best just to let him go.
He leads himself.,He won’t listen to anyone’s advice.
For many miles about There’s scarce a bush.,There’s hardly a bush for miles around.
"O sir, to wilful men, The injuries that they themselves procure Must be their schoolmasters.","Oh, sir, impetuous people learn their lessons from the consequences of their foolish actions."
Shut up your doors.,Lock the doors.
He is attended with a desperate train.,"His attendants are desperate, violent men."
"And what they may incense him to, being apt To have his ear abused, wisdom bids fear.","I’m afraid of what they might encourage him to do, considering the state he’s in."
"Shut up your doors, my lord.","Lock the doors, my lord."
Tis a wild night.,It’s a wild night.
My Regan counsels well.,Regan gives good advice.
Come out o' th' storm.,Come in out of the storm.
"Who’s there, besides foul weather?","Who’s there, aside from this foul weather?"
"One minded like the weather, most unquietly.","Someone whose mood is as foul as the weather, very troubled."
I know you.,I know you.
Where’s the king?,Where’s the king?
Contending with the fretful elements.,Struggling with the wind and rain.
"Bids the winds blow the earth into the sea Or swell the curlèd water 'bove the main, That things might change or cease.","He’s shouting at the wind to blow the earth into the sea, or make the sea flood the earth—he wants to see the world return to primal chaos."
"Tears his white hair, Which the impetuous blasts, with eyeless rage, Catch in their fury and make nothing of.","He keeps tearing out his white hair, which the blindly raging winds catch up and blow away into nothingness."
Strives in his little world of man to outscorn The to-and-fro–conflicting wind and rain.,"Small but brave in his surroundings, he’s trying to stand up against the wind and rain blowing back and forth."
"This night—wherein the cub-drawn bear would couch, The lion and the belly-pinchèd wolf Keep their fur dry—unbonneted he runs, And bids what will take all.","He’s running bareheaded, calling for the end of the world, out there on a night like this, when even savage animals ravenous with hunger crawl under cover and hide."
But who is with him?,But who’s with him?
"None but the fool, who labors to outjest His heart-struck injuries.","Nobody but the fool, who’s trying to soothe the wounds in the king’s heart with jokes."
"Sir, I do know you, And dare upon the warrant of my note Commend a dear thing to you.","Sir, I know you, and I trust you enough to share something very important with you."
"From France there comes a power Into this scattered kingdom, who already, Wise in our negligence, have secret feet In some of our best ports and are at point To show their open banner.",Some French agents are already at work in our main ports and are on the verge of declaring open war.
Now to you.,Now this is where you come in.
"I am a gentleman of blood and breeding, And from some knowledge and assurance offer This office to you.","I’m a nobleman, and I know what I’m doing in assigning this job to you."
I will talk further with you.,Let’s discuss it some more.
Give me your hand.,Let me shake your hand.
Have you no more to say?,Do you have anything else to tell me?
"Rage, blow!","Rage on, blow!"
"You cataracts and hurricanoes, spout Till you have drenched our steeples, drowned the cocks!",Let tornadoes spew water until the steeples of our churches and the weathervanes are all drowned.
"You sulfurous and thought-executing fires, Vaunt-couriers of oak-cleaving thunderbolts, Singe my white head!","Let quick sulfurous lightning, strong enough to split enormous trees, singe the white hair on my head."
"And thou, all-shaking thunder, Smite flat the thick rotundity o' th' world, Crack nature’s molds, all germens spill at once That make ingrateful man!","Let thunder flatten the spherical world, crack open all the molds from which nature forms human beings, and spill all the seeds from which ungrateful humans grow!"
"O nuncle, court holy water in a dry house is better than this rainwater out o' door.","Oh, uncle, it’s better to smile and flatter indoors where it’s dry than get soaked out here."
"Good nuncle, in, and ask thy daughters blessing.","Please, uncle, let’s go in and ask your daughters to forgive you."
Here’s a night pities neither wise man nor fool.,This storm has no pity for either wise men or fools.
Rumble thy bellyful!,Let thunder rumble!
"Spit, fire!",Let lightning spit fire!
"Spout, rain!",Let the rain spray!
"Nor rain, wind, thunder, fire are my daughters.","The rain, the wind, the thunder and lightning are not my daughters."
"I tax not you, you elements, with unkindness.","Nature, I don’t accuse your weather of unkindness."
"Why then, let fall Your horrible pleasure.",So go ahead and have your terrifying fun.
"Here I stand, your slave— A poor, infirm, weak, and despised old man.","Here I am, your slave—a poor, sick, weak, hated old man."
He that has a house to put ’s head in has a good headpiece.,Anyone who has a house to cover his head has a good head on his shoulders.
"Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sound Reverbs no hollowness.",On my life I swear to you that your youngest daughter doesn’t love you least.
"Kent, on thy life, no more.","Kent, if you want to stay alive, stop talking."
Out of my sight!,Get out of my sight!
"See better, Lear, and let me still remain The true blank of thine eye.","Learn to see better, Lear, and let me stay here where you can look to me for good advice."
"Now, by Apollo— Now, by Apollo, King, Thou swear’st thy gods in vain.","Now, I swear by Apollo… By Apollo, King, you’re taking the names of the gods in vain."
O vassal!,"Oh, you lowlife!"
Miscreant!,Scum!
"Dear sir, forbear!","Please stop, sir."
"Hear me, recreant!","Listen to me, you traitor."
For there was never yet fair woman but she made mouths    in a glass.,For there never was a pretty woman who didn’t like to preen in the mirror.
"No, I will be the pattern of all patience.","No, I’ll be patient."
I will say nothing.,I won’t say a word.
Who’s there?,Who’s there?
"Marry, here’s grace and a codpiece—that’s a wise man and a fool.",A wise man and a fool.
Let the great gods That keep this dreadful pudder o'er our heads Find out their enemies now.,Let the gods who stirred up this dreadful storm bring their enemies to light.
Some friendship will it lend you 'gainst the tempest.,It will give you some protection from this storm.
"Repose you there, while I to this hard house— More harder than the stones whereof ’tis raised, Which even but now, demanding after you, Denied me to come in—return, and force Their scanted courtesy.",They are harder than the stones the house is made of.
"My wits begin to turn.—   Come on, my boy.",I’m starting to lose my mind.
"True, my good boy.—Come, bring us to this hovel.","That’s true, my good boy.—Come on, take us to that hut."
I’ll speak a prophecy ere I go.,I’ll recite a prophecy before I go.
"Then comes the time, who lives to see ’t, That going shall be used with feet.",And whoever lives to see that day Will walk with his feet.
"This prophecy Merlin shall make, for I live before his time.",This is the prophecy that the wizard 
"Alack, alack, Edmund, I like not this unnatural dealing.","Oh, oh, Edmund, I don’t like this monstrous business."
"When I desire their leave that I might pity him, they took from me the use of mine own house, charged me on pain of their perpetual displeasure neither to speak of him, entreat for him, nor any way sustain him.","When asked the Duke and Duchess of Cornwall if I could take pity on the king and shelter him from the storm, they took my house away from me and ordered me never to talk about him, lobby for him, or support him in any way."
Most savage and unnatural!,That’s uncivilized and unnatural!
"Go to, say you nothing.","Oh, be quiet."
There’s a division betwixt the dukes.,There’s a feud between the two dukes.
Tis dangerous to be spoken.,It’s dangerous to talk about it.
I have locked the letter in my closet.,I’ve locked it up in my room.
These injuries the king now bears will be revenged home.,The humiliation that the king is suffering now will be revenged thoroughly.
There’s part of a power already footed.,Armed forces have already landed.
We must incline to the king.,We have to take the king’s side.
I will look him and privily relieve him.,I’ll look for him and secretly help him.
"Go you and maintain talk with the duke, that my charity be not of him perceived.",You go and talk to the duke so he won’t notice I’m helping the king.
"If he ask for me, I am ill and gone to bed.","If he asks to see me, tell him I’m sick and went to bed."
Though I die for it—as no less is threatened me—the king my old master must be relieved.,Even if I have to die—as they threaten—I have to help the king.
"There is some strange thing toward, Edmund.","Strange things are about to happen, Edmund."
"Pray you, be careful.",Please be careful.
"This courtesy, forbid thee, shall the duke Instantly know, and of that letter too.",And I’ll tell him about the letter too.
The younger rises when the old doth fall.,The young generation rises while the old one falls.
"Here is the place, my lord.","Here’s the hut, my lord."
"Good my lord, enter.",Please go inside.
The tyranny of the open night’s too rough For nature to endure.,The night’s too rough for humans to bear.
Let me alone.,Leave me for a bit.
"Good my lord, enter here.","My lord, here is the entrance."
Wilt break my heart?,Will you break my heart?
I had rather break mine own.,I’d rather break my own heart.
"Good my lord, enter.",Now please go in.
Thou think’st ’tis much that this contentious storm Invades us to the skin.,You think it’s a big deal that this fierce storm is soaking me to the skin.
So ’tis to thee.,It’s a big deal to you.
But where the greater malady is fixed The lesser is scarce felt.,"But whenever you feel a larger pain, the smaller one disappears."
"Thou’dst shun a bear, But if thy flight lay toward the raging sea Thou’dst meet the bear i' th' mouth.","You would run away from a bear, but if the only way to run was into the stormy ocean, you’d turn around and confront the bear."
"When the mind’s free, The body’s delicate.","When your mind is at peace, your body is sensitive to the elements."
The tempest in my mind Doth from my senses take all feeling else Save what beats there—filial ingratitude.,But this storm in my mind keeps me from feeling anything except what’s tormenting me—how ungrateful my children are!
Is it not as this mouth should tear this hand For lifting food to ’t?,Isn’t their ingratitude like the mouth biting the hand that feeds it?
But I will punish home.,But I’ll punish them thoroughly.
"No, I will weep no more.","No, I won’t cry any more."
In such a night To shut me out!,Imagine them locking me out on a night like this!
"Pour on, I will endure.",But let it rain; I’ll survive.
In such a night as this!,On a night like this!
"O Regan, Goneril, Your old kind father, whose frank heart gave all— Oh, that way madness lies.","Oh, Regan, Goneril, your kind old father whose generous heart gave you everything—Oh, if I think about that I’ll go mad."
Let me shun that.,I want to avoid that.
No more of that.,No more of these thoughts.
"Good my lord, enter here.","My lord, please go inside here."
"Prithee, go in thyself.",Go inside yourself.
Seek thine own ease.,Make yourself comfortable.
This tempest will not give me leave to ponder On things would hurt me more.,This storm protects me from thoughts that would hurt me more.
But I’ll go in.,But I’ll go in.
"Expose thyself to feel what wretches feel, That thou mayst shake the superflux to them And show the heavens more just.",Go out and feel what the impoverished feel.
"Come not in here, nuncle.","Don’t come in here, uncle!"
Here’s a spirit.,There’s a spirit in here!
"Help me, help me!","Help me, help me!"
Give me thy hand.,Give me your hand.
Who’s there?,Who’s there?
"A spirit, a spirit.","A ghost, a ghost!"
He says his name’s Poor Tom.,He says his name’s Poor Tom.
What art thou that dost grumble there i' th' straw?,"Who are you, moaning in the hut like that?"
Come forth.,Come out.
Away!,Go away!
The foul fiend follows me!,The devil’s after me!
Through the sharp hawthorn blows the cold wind.,The cold wind blows through the hawthorn trees.
Hum!,Ha!
Go to thy cold bed and warm thee.,Get into your cold beds and warm yourselves up.
"Didst thou give all to thy two daughters, and art thou come to this?",Did you give everything to your two daughters and end up like this?
Bless thy five wits.,Bless your five senses!
Tom’s a-cold.,Tom’s chilly.
"Oh, do-de, do-de, do-de.","Oh do-de, do-de, do-de."
"Bless thee from whirlwinds, star-blasting, and taking!","God protect you from tornadoes, evil stars, and diseases!"
"Do Poor Tom some charity, whom the foul fiend vexes.","Take pity on Poor Tom, who is persecuted by the devil."
There could I have him now—and there—and there again—and there.,There!… And over there!… And over there!
"What, has his daughters brought him to this pass?— Couldst thou save nothing?",Have his daughters made him crazy like this?—Couldn’t you have kept something for yourself?
Wouldst thou give 'em all?,Did you have to give them everything?
"Nay, he reserved a blanket, else we had been all shamed.","If he hadn’t, we’d all be embarrassed to look at him."
Now all the plagues that in the pendulous air Hang fated o'er men’s faults light on thy daughters!,Then may your daughters be cursed with all the horrible fates that await sinners!
"He hath no daughters, sir.","He doesn’t have any daughters, sir."
"Death, traitor!",Like hell!
Nothing could have subdued nature To such a lowness but his unkind daughters.,Nothing but cruel daughters could have degraded him like this.
Is it the fashion that discarded fathers Should have thus little mercy on their flesh?,Is it fashionable now for neglected fathers to get so little pity?
Twas this flesh begot Those pelican daughters.,I’m the one who fathered those bloodsucking daughters.
This cold night will turn us all to fools and madmen.,This stormy night will turn us all into fools and madmen.
Take heed o' th' foul fiend.,Beware of the devil.
"Obey thy parents, keep thy word’s justice, swear not, commit not with man’s sworn spouse, set not thy sweet heart on proud array.","Obey your parents, keep your word, don’t swear, don’t sleep with another man’s wife, and don’t covet flashy clothes."
Tom’s a- cold.,Tom’s chilly.
What hast thou been?,What were you before this?
"Wine loved I deeply, dice dearly, and in woman outparamoured the Turk.","I loved wine and gambling, and had more women than a Turkish sultan keeps in his harem."
"Still through the hawthorn blows the cold wind, says, “Suum, mun, nonny.” Dauphin my boy, my boy, cessez.",The cold wind’s still blowing through the hawthorn tree. 
Thou art the thing itself.,Look at him.
"Unaccommodated man is no more but such a poor, bare, forked animal as thou art.—  Off, off, you lendings!","The human being unburdened by the trappings of civilization is no more than a poor, naked, two-legged animal like you."
Unbutton here.,Let me unbutton this.
"Prithee, nuncle, be contented.","Please calm down, uncle."
Tis a naughty night to swim in.,This is a nasty night to go swimming.
"Now a little fire in a wild field were like an old lecher’s heart—a small spark, all the rest on ’s body cold.",On a night like this a campfire in an empty field would be like the heart of a dirty old man—a tiny spark in a cold body.
"Look, here comes a walking fire.","Look, here comes a walking fire."
This is the foul fiend Flibbertigibbet.,This is the devil Flibbertigibbet.
He begins at curfew and walks till the first cock.,He gets up at nightfall and wanders around till dawn.
"And aroint thee, witch, aroint thee!","And go away, witch, go away."
How fares your grace?,"How are you, your highness?"
Who’s there?,Who are you?
What is ’t you seek?,What do you want?
What are you there?,Who are you?
Your names?,What are your names?
"Peace, Smulkin.","Calm down, Smulkin, you fiend!"
"Modo he’s called, and Mahu.",He’s called Modo and Mahu.
Poor Tom’s a-cold.,Poor Tom’s chilly.
Go in with me.,Come back to my house with me.
My duty cannot suffer To obey in all your daughters' hard commands.,I couldn’t bear to obey all of your daughters' harsh orders.
"Though their injunction be to bar my doors And let this tyrannous night take hold upon you, Yet have I ventured to come seek you out And bring you where both fire and food is ready.","They commanded me to lock my doors and leave you out in this merciless storm, but I’ve come out here to find you and take you where there’s warmth and food."
First let me talk with this philosopher.—  ,First let me talk with this philosopher here.—
Away!,Now get out of here!
"By Jupiter, This shall not be revoked.",I swear by Jupiter I’ll never revoke this punishment.
"Why, fare thee well, King.","Farewell, King."
"Here’s France and Burgundy, my noble lord.","Here are the rulers of France and Burgundy, my lord."
My lord of Burgundy.,"My lord the ruler of Burgundy, I’ll speak to you first."
"We first address towards you, who with this king Hath rivaled for our daughter.",You’ve been competing with this king for my daughter.
Let me ask you one word in private.,Let me ask you something in private.
Canst thou blame him?,Can you blame him?
His daughters seek his death.,His daughters want to kill him.
"Ah, that good Kent— He said it would be thus, poor banished man.","Ah, good old Kent said this would happen—that poor, banished man."
Thou say’st the king grows mad.,You say the king is losing his mind.
"I’ll tell thee, friend, I am almost mad myself.","Let me tell you, my friend, I’m almost insane myself."
"I had a son, Now outlawed from my blood.","I had a son, whom I’ve legally disowned."
"He sought my life, But lately, very late.","He tried to kill me recently, very recently."
"I loved him, friend— No father his son dearer.","I loved him, as much as any father ever loved his son."
What a night’s this!,What a storm!
"O, cry your mercy, sir.—        Tom’s a-cold.","Excuse me, sir.— Tom’s chilly."
Keep thee warm.,Stay warm.
Come let’s in all.,"Come on, let’s all go inside."
"This way, my lord.","This way, my lord."
"Come, good Athenian.","Come on, my dear Greek philosopher."
I will have my revenge ere I depart his house.,I’ll get my revenge before I leave this house.
"How, my lord, I may be censured, that nature thus gives way to loyalty, something fears me to think of.",I’m afraid to think how I’ll be criticized for letting my natural affection for my father give way to my loyalty to you.
"I now perceive it was not altogether your brother’s evil disposition made him seek his death, but a provoking merit set awork by a reprovable badness in himself.","Now I realize your brother tried to kill your father not just because your brother is an evil man, but because your father deserved it by being wicked himself."
"How malicious is my fortune, that I must repent to be just!","How unlucky am I, having to apologize for doing the right thing!"
Go with me to the duchess.,Come with me to see the duchess.
"If the matter of this paper be certain, you have mighty business in hand.","If this letter’s right, you’ve got a lot to deal with."
"True or false, it hath made thee Earl of Gloucester.","Right or not, it’s made you the Earl of Gloucester."
"I will lay trust upon thee, and thou shalt find a dearer father in my love. ",I put my trust in you.
Here is better than the open air.,It’s better here than outside.
Take it thankfully.,Be happy about it.
I will piece out the comfort with what addition I can.,I’ll do what I can to make you even more comfortable.
I will not be long from you.,I won’t be gone long.
All the power of his wits have given way to his impatience.,He can’t bear his grief and so he’s losing his mind.
The gods reward your kindness!,May God reward you for your kindness!
"A king, a king!","He’s a king, a king!"
"No, he’s a yeoman that has a gentleman to his son, for he’s a mad yeoman that sees his son a gentleman before him.","No, he’s an ordinary guy who ’s got a gentleman for a son, since someone would have to be crazy to let his son become a gentleman before he’s achieved that distinction himself."
To have a thousand with red burning spits Come hissing in upon 'em!,I see Regan and Goneril in hell—A thousand hissing devils with sizzling red pitchforks come up to them!
The foul fiend bites my back.,The nasty devil’s biting my butt.
It shall be done.,I’ll do it.
The foul fiend haunts Poor Tom in the voice of a nightingale.,The devil sings like a nightingale to haunt Poor Tom.
Hoppedance cries in Tom’s belly for two white herring.,"The demon Hoppedance is in Tom’s belly, crying for some fish to eat."
"Croak not, black angel.","Stop whining, devil."
I have no food for thee.,I’ve got no food to give you.
Sit you too.,Let’s have the evidence.
Let us deal justly.,Let’s give a fair verdict.
"I here take my oath before this honorable assembly, she kicked the poor king her father.",There she is.
"Come hither, mistress.","Come here, ma'am."
Is your name Goneril?,Is your name Goneril?
She cannot deny it.,She can’t deny it.
"And here’s another, whose warped looks proclaim What store her heart is made on.","And here’s Regan, whose grotesque face betrays her twisted heart."
Stop her there!,Stop her!
"Arms, arms, sword, fire, corruption in the place!",Fire!
"False justicer, why hast thou let her ’scape?","You corrupt judge, why did you let her escape?"
They’ll mar my counterfeiting.,Bless your heart.
"The little dogs and all, Tray, Blanch, and Sweetheart—see, they bark at me.","Look at the three little dogs, Tray, Blanch, and Sweetheart—all barking at me."
"Tom will throw his head at them.—Avaunt, you curs!","Tom will chase them off.—Go away, you mongrels!"
"Tooth that poisons if it bite, Mastiff, greyhound, mongrel grim,","Whether you bite to kill, Mastiff, greyhound, or ugly mutt,"
"Hound or spaniel, brach or him,  Bobtail tyke or trundle-tail—  Tom will make them weep and wail.","Hound or spaniel, bitch or dog, Whether your tail is short or curly— Tom will make you cry and wail."
"For with throwing thus my head,  Dogs leap the hatch, and all are fled.","With one little toss of his head, He can scare you off for good."
"Be thy mouth or black or white,  Do-de, de-de.","Whether your mouth is black or white, Do-dee, dee-dee da."
Cessez!,Stop!
"Come, march to wakes and fairs and market towns.","Run off, go visit fairs and festivals!"
"Poor Tom, thy horn is dry.","Poor Tom, your cup is empty."
Is there any cause in nature that makes these hard hearts?,Is there any natural cause for hardening of the heart?
